07:31:49.071 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - 
07:31:49.077 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ***  START TC_CO_005_CheckoutTests ***
07:31:49.106 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... create Home Page
07:31:49.209 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... click on 'My account' in navbar
07:31:50.567 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... click on 'Register'
07:31:50.585 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... create Account Registration Page
07:31:50.587 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... generating user data:
07:31:50.588 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - first name: JKVFR
07:31:50.588 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - last name: AKRZW
07:31:50.589 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - email: NNpFm@gmail.com
07:31:50.589 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - phone number: 3075226273
07:31:50.589 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - password: qSiB@561, confirm password: qSiB@561
07:31:50.590 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting user data to the corresponding fields
07:31:51.466 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... click on 'accept policy rules' 
07:31:52.720 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... click 'Continue' button
07:31:52.722 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... create 'Success' Page
07:31:53.342 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... click 'Continue' button on 'Success' Page
07:31:53.350 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... create 'My Account' Page
07:31:54.986 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... redirecting to Home Page by click 'Qafox.com' logo on the top of the page
07:31:55.157 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... set name of the product (LP3065) to the search field
07:31:57.039 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...click search button
